YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAYED,DEP_HOUR,SEASON,IS_WEEKEND,IS_PEAK_DELAY_HOUR,WEATHER_IMPACT
2015,3,27,5,UA,443,N505UA,JFK,LAX,830,832.0,2.0,21.0,853.0,384.0,337.0,313.0,2475,1106.0,3.0,1154,1109.0,-45.0,0,0,,,,,,0.0,0,8,Spring,0,0,0
2015,7,16,4,HA,127,N477HA,KOA,HNL,1318,1311.0,-7.0,9.0,1320.0,44.0,51.0,34.0,163,1354.0,8.0,1402,1402.0,0.0,0,0,,,,,,0.0,0,13,Summer,0,0,0
2015,8,9,7,UA,448,N545UA,ORD,BOS,1101,1054.0,-7.0,14.0,1108.0,146.0,133.0,111.0,867,1359.0,8.0,1427,1407.0,-20.0,0,0,,,,,,0.0,0,11,Summer,1,0,0
2015,3,2,1,OO,6431,N795SK,LAX,SAT,911,907.0,-4.0,25.0,932.0,174.0,174.0,142.0,1211,1354.0,7.0,1405,1401.0,-4.0,0,0,,,,,,0.0,0,9,Spring,0,0,0
2015,10,9,5,AA,152,N3DBAA,11298,11278,850,1005.0,75.0,19.0,1024.0,183.0,162.0,136.0,1192,1340.0,7.0,1253,1347.0,54.0,0,0,,0.0,0.0,54.0,0.0,0.0,1,8,Fall,0,0,0
2015,11,13,5,AS,55,N568AS,FAI,ANC,1420,1411.0,-9.0,7.0,1418.0,60.0,56.0,45.0,261,1503.0,4.0,1520,1507.0,-13.0,0,0,,,,,,0.0,0,14,Fall,0,0,0
2015,1,30,5,OO,4971,N507CA,BOI,DEN,1008,1418.0,250.0,18.0,1436.0,114.0,114.0,91.0,649,1607.0,5.0,1202,1612.0,250.0,0,0,,0.0,0.0,0.0,250.0,0.0,1,10,Winter,0,0,0
2015,1,12,1,AA,1188,N403AA,LAX,AUS,1435,1544.0,69.0,16.0,1600.0,170.0,173.0,153.0,1242,2033.0,4.0,1925,2037.0,72.0,0,0,,3.0,0.0,38.0,31.0,0.0,1,14,Winter,0,0,0
2015,1,9,5,UA,1001,N37281,ORD,EWR,754,814.0,20.0,15.0,829.0,128.0,117.0,90.0,719,1059.0,12.0,1102,1111.0,9.0,0,0,,,,,,0.0,0,7,Winter,0,0,0
2015,3,9,1,WN,4553,N791SW,ATL,MDW,940,944.0,4.0,14.0,958.0,125.0,109.0,89.0,591,1027.0,6.0,1045,1033.0,-12.0,0,0,,,,,,0.0,0,9,Spring,0,0,0
2015,12,8,2,AA,2137,N961UW,DCA,LGA,600,550.0,-10.0,10.0,600.0,61.0,60.0,45.0,214,645.0,5.0,701,650.0,-11.0,0,0,,,,,,0.0,0,6,Winter,0,0,0
2015,12,2,3,UA,1779,N36272,IAH,SEA,915,922.0,7.0,15.0,937.0,299.0,295.0,266.0,1874,1203.0,14.0,1214,1217.0,3.0,0,0,,,,,,0.0,0,9,Winter,0,0,0
2015,9,13,7,OO,4988,N138SY,LAX,SFO,1424,1519.0,55.0,33.0,1552.0,83.0,100.0,64.0,337,1656.0,3.0,1547,1659.0,72.0,0,0,,58.0,0.0,0.0,14.0,0.0,1,14,Fall,1,0,0
2015,4,13,1,EV,4945,N710EV,OKC,DTW,600,616.0,16.0,12.0,628.0,142.0,135.0,116.0,900,924.0,7.0,922,931.0,9.0,0,0,,,,,,0.0,0,6,Spring,0,0,0
2015,1,28,3,DL,494,N3759,JFK,LAS,1701,1659.0,-2.0,50.0,1749.0,361.0,370.0,315.0,2248,2004.0,5.0,2002,2009.0,7.0,0,0,,,,,,0.0,0,17,Winter,0,1,0
2015,4,8,3,US,713,N575UW,PBI,CLT,820,828.0,8.0,12.0,840.0,113.0,116.0,91.0,590,1011.0,13.0,1013,1024.0,11.0,0,0,,,,,,0.0,0,8,Spring,0,0,0
2015,6,25,4,WN,4023,N361SW,SFO,LAX,1640,1640.0,0.0,10.0,1650.0,85.0,74.0,58.0,337,1748.0,6.0,1805,1754.0,-11.0,0,0,,,,,,0.0,0,16,Summer,0,1,0
2015,11,22,7,WN,322,N7723E,MCO,BDL,950,950.0,0.0,15.0,1005.0,155.0,139.0,119.0,1050,1204.0,5.0,1225,1209.0,-16.0,0,0,,,,,,0.0,0,9,Fall,1,0,0
2015,6,14,7,WN,632,N414WN,RNO,LAS,2140,2237.0,57.0,6.0,2243.0,75.0,60.0,48.0,345,2331.0,6.0,2255,2337.0,42.0,0,0,,0.0,0.0,0.0,42.0,0.0,1,21,Summer,1,0,0
2015,12,16,3,VX,922,N633VA,SFO,LAX,700,701.0,1.0,18.0,719.0,80.0,81.0,53.0,337,812.0,10.0,820,822.0,2.0,0,0,,,,,,0.0,0,7,Winter,0,0,0
2015,10,19,1,DL,2595,N910DL,10397,13931,1704,1730.0,26.0,16.0,1746.0,98.0,89.0,68.0,516,1854.0,5.0,1842,1859.0,17.0,0,0,,0.0,0.0,17.0,0.0,0.0,1,17,Fall,0,1,0
2015,4,28,2,DL,2110,N981DL,ATL,DFW,1105,1104.0,-1.0,18.0,1122.0,147.0,149.0,120.0,731,1222.0,11.0,1232,1233.0,1.0,0,0,,,,,,0.0,0,11,Spring,0,0,0
2015,11,9,1,DL,1647,N921DN,LGA,ATL,759,754.0,-5.0,18.0,812.0,160.0,154.0,124.0,762,1016.0,12.0,1039,1028.0,-11.0,0,0,,,,,,0.0,0,7,Fall,0,0,0
2015,10,10,6,WN,1303,N202WN,13232,14492,2055,2120.0,25.0,16.0,2136.0,105.0,106.0,86.0,632,2.0,4.0,2340,6.0,26.0,0,0,,1.0,0.0,6.0,19.0,0.0,1,20,Fall,1,1,0
2015,10,15,4,DL,318,N335NW,12953,13487,1435,1432.0,-3.0,18.0,1450.0,189.0,180.0,157.0,1020,1627.0,5.0,1644,1632.0,-12.0,0,0,,,,,,0.0,0,14,Fall,0,0,0
2015,2,8,7,MQ,3469,N620MQ,FSD,ORD,1734,1804.0,30.0,8.0,1812.0,101.0,174.0,73.0,462,1925.0,93.0,1915,2058.0,103.0,0,0,,73.0,0.0,0.0,30.0,0.0,1,17,Winter,1,1,0
2015,12,31,4,AA,1791,N809AW,CLT,TPA,1625,1622.0,-3.0,17.0,1639.0,101.0,97.0,78.0,507,1757.0,2.0,1806,1759.0,-7.0,0,0,,,,,,0.0,0,16,Winter,0,1,0
2015,1,25,7,DL,1354,N1609,LAX,ATL,2245,2242.0,-3.0,18.0,2300.0,247.0,258.0,234.0,1947,554.0,6.0,552,600.0,8.0,0,0,,,,,,0.0,0,22,Winter,1,0,0
2015,9,21,1,EV,4231,N14977,STL,IAH,1820,1835.0,15.0,8.0,1843.0,130.0,105.0,91.0,667,2014.0,6.0,2030,2020.0,-10.0,0,0,,,,,,0.0,0,18,Fall,0,1,0
2015,9,9,3,AS,300,N568AS,SEA,SFO,2145,2146.0,1.0,21.0,2207.0,133.0,125.0,98.0,679,2345.0,6.0,2358,2351.0,-7.0,0,0,,,,,,0.0,0,21,Fall,0,0,0
2015,5,8,5,AA,285,N5FBAA,LAX,LIH,1730,1821.0,51.0,17.0,1838.0,359.0,350.0,327.0,2615,2105.0,6.0,2029,2111.0,42.0,0,0,,0.0,0.0,0.0,42.0,0.0,1,17,Spring,0,1,0
2015,7,12,7,EV,5045,N884AS,MDT,DTW,930,925.0,-5.0,11.0,936.0,88.0,86.0,71.0,371,1047.0,4.0,1058,1051.0,-7.0,0,0,,,,,,0.0,0,9,Summer,1,0,0
2015,10,14,3,AA,2423,N3KYAA,13487,11298,1514,1508.0,-6.0,15.0,1523.0,156.0,144.0,114.0,852,1717.0,15.0,1750,1732.0,-18.0,0,0,,,,,,0.0,0,15,Fall,0,0,0
2015,4,15,3,EV,5085,N838AS,TYS,ATL,939,934.0,-5.0,15.0,949.0,60.0,60.0,38.0,152,1027.0,7.0,1039,1034.0,-5.0,0,0,,,,,,0.0,0,9,Spring,0,0,0
2015,6,25,4,AA,169,N3DRAA,LAS,LAX,1005,1000.0,-5.0,24.0,1024.0,72.0,87.0,42.0,236,1106.0,21.0,1117,1127.0,10.0,0,0,,,,,,0.0,0,10,Summer,0,0,0
2015,4,25,6,WN,951,N369SW,RSW,BWI,2030,2024.0,-6.0,12.0,2036.0,155.0,140.0,124.0,919,2240.0,4.0,2305,2244.0,-21.0,0,0,,,,,,0.0,0,20,Spring,1,1,0
2015,6,8,1,WN,2596,N265WN,OKC,HOU,805,802.0,-3.0,7.0,809.0,80.0,75.0,59.0,419,908.0,9.0,925,917.0,-8.0,0,0,,,,,,0.0,0,8,Summer,0,0,0
